game_round,map,latency,player_id,player_ip,score
8,aggressor,200.0,6,Player_172.19.117.18,0.0
9,wrackdm17,200.0,1,Player_172.19.137.208,3.0
9,wrackdm17,200.0,2,Player_172.19.114.48,11.0
9,wrackdm17,200.0,3,Player_172.19.119.51,10.0
9,wrackdm17,200.0,4,Player_172.19.116.18,0.0
9,wrackdm17,200.0,5,Player_172.19.120.104,10.0
9,wrackdm17,200.0,6,Player_172.19.117.18,0.0
10,kaos2,200.0,1,Player_172.19.137.208,0.0
10,kaos2,200.0,2,Player_172.19.114.48,0.0
10,kaos2,200.0,3,Player_172.19.119.51,0.0
10,kaos2,200.0,4,Player_172.19.116.18,0.0
10,kaos2,200.0,5,Player_172.19.120.104,0.0
10,kaos2,200.0,6,Player_172.19.117.18,0.0
11,aggressor,50.0,1,Player_172.19.137.208,19.0
11,aggressor,50.0,2,Player_172.19.114.48,17.0
11,aggressor,50.0,3,Player_172.19.119.51,18.0
11,aggressor,50.0,4,Player_172.19.116.18,2.0
11,aggressor,50.0,5,Player_172.19.120.104,16.0
11,aggressor,50.0,6,Player_172.19.117.18,3.0
12,wrackdm17,50.0,1,Player_172.19.137.208,11.0
12,wrackdm17,50.0,2,Player_172.19.114.48,12.0
12,wrackdm17,50.0,3,Player_172.19.119.51,9.0
12,wrackdm17,50.0,4,Player_172.19.116.18,0.0
12,wrackdm17,50.0,5,Player_172.19.120.104,7.0
12,wrackdm17,50.0,6,Player_172.19.117.18,0.0
13,aggressor,50.0,1,Player_172.19.137.208,13.0
13,aggressor,50.0,2,Player_172.19.114.48,19.0
13,aggressor,50.0,3,Player_172.19.119.51,14.0
13,aggressor,50.0,4,Player_172.19.116.18,7.0
13,aggressor,50.0,5,Player_172.19.120.104,27.0
13,aggressor,50.0,6,Player_172.19.117.18,2.0
14,wrackdm17,50.0,1,Player_172.19.137.208,8.0
14,wrackdm17,50.0,2,Player_172.19.114.48,10.0
14,wrackdm17,50.0,3,Player_172.19.119.51,20.0
14,wrackdm17,50.0,4,Player_172.19.116.18,0.0
14,wrackdm17,50.0,5,Player_172.19.120.104,11.0
14,wrackdm17,50.0,6,Player_172.19.117.18,1.0
15,kaos2,50.0,1,Player_172.19.137.208,0.0
15,kaos2,50.0,2,Player_172.19.114.48,0.0
15,kaos2,50.0,3,Player_172.19.119.51,2.0
15,kaos2,50.0,4,Player_172.19.116.18,1.0
15,kaos2,50.0,5,Player_172.19.120.104,0.0
15,kaos2,50.0,6,Player_172.19.117.18,0.0
16,aggressor,150.0,1,Player_172.19.137.208,10.0
16,aggressor,150.0,2,Player_172.19.114.48,25.0
16,aggressor,150.0,3,Player_172.19.119.51,20.0
16,aggressor,150.0,4,Player_172.19.116.18,7.0
16,aggressor,150.0,5,Player_172.19.120.104,27.0
16,aggressor,150.0,6,Player_172.19.117.18,6.0
17,wrackdm17,150.0,1,Player_172.19.137.208,7.0
17,wrackdm17,150.0,2,Player_172.19.114.48,10.0
17,wrackdm17,150.0,3,Player_172.19.119.51,9.0
17,wrackdm17,150.0,4,Player_172.19.116.18,2.0
17,wrackdm17,150.0,5,Player_172.19.120.104,5.0
17,wrackdm17,150.0,6,Player_172.19.117.18,1.0
18,aggressor,150.0,1,Player_172.19.137.208,18.0
18,aggressor,150.0,2,Player_172.19.114.48,21.0
18,aggressor,150.0,3,Player_172.19.119.51,13.0
18,aggressor,150.0,4,Player_172.19.116.18,2.0
18,aggressor,150.0,5,Player_172.19.120.104,9.0
18,aggressor,150.0,6,Player_172.19.117.18,3.0
19,wrackdm17,150.0,1,Player_172.19.137.208,10.0
19,wrackdm17,150.0,2,Player_172.19.114.48,16.0
19,wrackdm17,150.0,3,Player_172.19.119.51,3.0
19,wrackdm17,150.0,4,Player_172.19.116.18,2.0
19,wrackdm17,150.0,5,Player_172.19.120.104,6.0
19,wrackdm17,150.0,6,Player_172.19.117.18,0.0
