original_timestamp,timestamp,killer_id,victim_id,weapon_id,killer,victim,weapon
1725503685.008504,2024-09-05 12:34:45.008504,3,1,7,Player_138.25.249.81,Player_138.25.249.38,MOD_ROCKET_SPLASH\n]\x08 \x08PlayerScore: 3 2: Player_138.25.249.81 now has 2 points\n]\x08 \x08Challenge: 3 205 1: Client 3 got award 205\n]\x08 \x08Challenge: 3 1 1: Client 3 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]'
1725503686.658386,2024-09-05 12:34:46.658386,0,3,6,Player_138.25.249.93,Player_138.25.249.81,MOD_ROCKET\n]\x08 \x08PlayerScore: 0 2: Player_138.25.249.93 now has 2 points\n]\x08 \x08Challenge: 0 205 1: Client 0 got award 205\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503700.060032,2024-09-05 12:35:00.060032,3,1,22,Player_138.25.249.81,Player_138.25.249.38,MOD_TRIGGER_HURT\n]\x08 \x08PlayerScore: 3 3: Player_138.25.249.81 now has 3 points\n]\x08 \x08Challenge: 3 214 1: Client 3 got award 214\n]\x08 \x08Challenge: 3 1 1: Client 3 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]'
1725503710.908538,2024-09-05 12:35:10.908538,0,3,6,Player_138.25.249.93,Player_138.25.249.81,MOD_ROCKET\n]\x08 \x08PlayerScore: 0 3: Player_138.25.249.93 now has 3 points\n]\x08 \x08Challenge: 0 205 1: Client 0 got award 205\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]'
1725503726.007557,2024-09-05 12:35:26.007557,1,3,1,Player_138.25.249.38,Player_138.25.249.81,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 1 2: Player_138.25.249.38 now has 2 points\n]\x08 \x08Challenge: 1 203 1: Client 1 got award 203\n]\x08 \x08Challenge: 1 1 1: Client 1 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503737.391154,2024-09-05 12:35:37.391154,0,2,22,Player_138.25.249.93,Player_138.25.249.94,MOD_TRIGGER_HURT\n]\x08 \x08PlayerScore: 0 4: Player_138.25.249.93 now has 4 points\n]\x08 \x08Challenge: 0 214 1: Client 0 got award 214\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 2 2 1: Client 2 got award 2\n]'
1725503739.858339,2024-09-05 12:35:39.858339,3,1,4,Player_138.25.249.81,Player_138.25.249.38,MOD_GRENADE\n]\x08 \x08PlayerScore: 3 4: Player_138.25.249.81 now has 4 points\n]\x08 \x08Challenge: 3 204 1: Client 3 got award 204\n]\x08 \x08Challenge: 3 1 1: Client 3 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]'
1725503744.485090,2024-09-05 12:35:44.485090,1,2,3,Player_138.25.249.38,Player_138.25.249.94,MOD_MACHINEGUN\n]\x08 \x08PlayerScore: 1 3: Player_138.25.249.38 now has 3 points\n]\x08 \x08Challenge: 1 202 1: Client 1 got award 202\n]\x08 \x08Challenge: 1 1 1: Client 1 got award 1\n]\x08 \x08Challenge: 2 2 1: Client 2 got award 2\n]'
1725503749.908642,2024-09-05 12:35:49.908642,0,3,7,Player_138.25.249.93,Player_138.25.249.81,MOD_ROCKET_SPLASH\n]\x08 \x08PlayerScore: 0 5: Player_138.25.249.93 now has 5 points\n]\x08 \x08Challenge: 0 205 1: Client 0 got award 205\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503757.084154,2024-09-05 12:35:57.084154,1022,0,22,<world>,Player_138.25.249.93,MOD_TRIGGER_HURT\n]\x08 \x08PlayerScore: 0 4: Player_138.25.249.93 now has 4 points\n]'
