original_timestamp,timestamp,game_round,map,latency,event,player_id,item_id,item,log_line
1725501419.323029,2024-09-05 11:56:59.323,7,aggressor,0,ItemPickup,3,9,weapon_shotgun,1725501419.323029: b'\x08 \x08Item: 3 weapon_shotgun\n]'
1725501419.845654,2024-09-05 11:56:59.845,7,aggressor,0,ItemPickup,1,11,weapon_lightning,1725501419.845654: b'\x08 \x08Item: 1 weapon_lightning\n]'
1725501419.967331,2024-09-05 11:56:59.967,7,aggressor,0,ItemPickup,2,10,weapon_plasmagun,1725501419.967331: b'\x08 \x08Item: 2 weapon_plasmagun\n]'
1725501423.622734,2024-09-05 11:57:03.622,7,aggressor,0,ItemPickup,3,15,weapon_grenadelauncher,1725501423.622734: b'\x08 \x08Item: 3 weapon_grenadelauncher\n]'
1725501426.616575,2024-09-05 11:57:06.616,7,aggressor,0,ItemPickup,3,11,weapon_lightning,1725501426.616575: b'\x08 \x08Item: 3 weapon_lightning\n]'
1725501427.531441,2024-09-05 11:57:07.531,7,aggressor,0,ItemPickup,3,6,item_health,1725501427.531441: b'\x08 \x08Item: 3 item_health\n]'
1725501428.684514,2024-09-05 11:57:08.684,7,aggressor,0,ItemPickup,3,4,item_armor_combat,1725501428.684514: b'\x08 \x08Item: 3 item_armor_combat\n]'
1725501428.700968,2024-09-05 11:57:08.700,7,aggressor,0,ItemPickup,1,15,weapon_grenadelauncher,1725501428.700968: b'\x08 \x08Item: 1 weapon_grenadelauncher\n]'
1725501430.137218,2024-09-05 11:57:10.137,7,aggressor,0,ItemPickup,3,5,ammo_cells,1725501430.137218: b'\x08 \x08Item: 3 ammo_cells\n]'
1725501430.170599,2024-09-05 11:57:10.170,7,aggressor,0,ItemPickup,3,20,weapon_railgun,1725501430.170599: b'\x08 \x08Item: 3 weapon_railgun\n]'
1725501430.887621,2024-09-05 11:57:10.887,7,aggressor,0,ItemPickup,2,4,item_armor_combat,1725501430.887621: b'\x08 \x08Item: 2 item_armor_combat\n]'
1725501434.248497,2024-09-05 11:57:14.248,7,aggressor,0,ItemPickup,3,11,weapon_lightning,1725501434.248497: b'\x08 \x08Item: 3 weapon_lightning\n]'
1725501434.622424,2024-09-05 11:57:14.622,7,aggressor,0,ItemPickup,2,18,ammo_bullets,1725501434.622424: b'\x08 \x08Item: 2 ammo_bullets\n]'
1725501434.864680,2024-09-05 11:57:14.864,7,aggressor,0,ItemPickup,2,10,weapon_plasmagun,1725501434.864680: b'\x08 \x08Item: 2 weapon_plasmagun\n]'
1725501435.561042,2024-09-05 11:57:15.561,7,aggressor,0,ItemPickup,3,6,item_health,1725501435.561042: b'\x08 \x08Item: 3 item_health\n]'
1725501436.721584,2024-09-05 11:57:16.721,7,aggressor,0,ItemPickup,2,6,item_health,1725501436.721584: b'\x08 \x08Item: 2 item_health\n]'
1725501438.912863,2024-09-05 11:57:18.912,7,aggressor,0,ItemPickup,2,3,weapon_rocketlauncher,1725501438.912863: b'\x08 \x08Item: 2 weapon_rocketlauncher\n]'
1725501441.249345,2024-09-05 11:57:21.249,7,aggressor,0,ItemPickup,1,20,weapon_railgun,1725501441.249345: b'\x08 \x08Item: 1 weapon_railgun\n]'
1725501444.484165,2024-09-05 11:57:24.484,7,aggressor,0,ItemPickup,0,8,item_health_small,1725501444.484165: b'\x08 \x08Item: 0 item_health_small\n]'
1725501444.583540,2024-09-05 11:57:24.583,7,aggressor,0,ItemPickup,0,8,item_health_small,1725501444.583540: b'\x08 \x08Item: 0 item_health_small\n]'
1725501444.649221,2024-09-05 11:57:24.649,7,aggressor,0,ItemPickup,0,8,item_health_small,1725501444.649221: b'\x08 \x08Item: 0 item_health_small\n]\x08 \x08Item: 0 item_health_small\n]'
1725501445.167487,2024-09-05 11:57:25.167,7,aggressor,0,ItemPickup,2,11,weapon_lightning,1725501445.167487: b'\x08 \x08Item: 2 weapon_lightning\n]'
1725501445.338390,2024-09-05 11:57:25.338,7,aggressor,0,ItemPickup,1,9,weapon_shotgun,1725501445.338390: b'\x08 \x08Item: 1 weapon_shotgun\n]'
1725501445.662380,2024-09-05 11:57:25.662,7,aggressor,0,ItemPickup,2,4,item_armor_combat,1725501445.662380: b'\x08 \x08Item: 2 item_armor_combat\n]'
1725501451.393534,2024-09-05 11:57:31.393,7,aggressor,0,ItemPickup,2,11,weapon_lightning,1725501451.393534: b'\x08 \x08Item: 2 weapon_lightning\n]'
1725501452.218558,2024-09-05 11:57:32.218,7,aggressor,0,ItemPickup,2,19,ammo_shells,1725501452.218558: b'\x08 \x08Item: 2 ammo_shells\n]'
1725501452.737236,2024-09-05 11:57:32.737,7,aggressor,0,ItemPickup,3,20,weapon_railgun,1725501452.737236: b'\x08 \x08Item: 3 weapon_railgun\n]'
1725501454.476169,2024-09-05 11:57:34.476,7,aggressor,0,ItemPickup,0,3,weapon_rocketlauncher,1725501454.476169: b'\x08 \x08Item: 0 weapon_rocketlauncher\n]'
1725501454.673855,2024-09-05 11:57:34.673,7,aggressor,0,ItemPickup,0,3,weapon_rocketlauncher,1725501454.673855: b'\x08 \x08Item: 0 weapon_rocketlauncher\n]'
1725501454.693699,2024-09-05 11:57:34.693,7,aggressor,0,ItemPickup,2,18,ammo_bullets,1725501454.693699: b'\x08 \x08Item: 2 ammo_bullets\n]'
1725501455.014830,2024-09-05 11:57:35.014,7,aggressor,0,ItemPickup,0,2,ammo_rockets,1725501455.014830: b'\x08 \x08Item: 0 ammo_rockets\n]'
1725501455.056596,2024-09-05 11:57:35.056,7,aggressor,0,ItemPickup,2,5,ammo_cells,1725501455.056596: b'\x08 \x08Item: 2 ammo_cells\n]'
